[27.740266227722167, -224.94534349441528]
[28.0657075881958, -234.37509632110596]
[25.68986644744873, -231.77871799468994]
[25.08726348876953, -209.83795022964478]
[21.105673217773436, -188.67472505569458]
[18.627312088012694, -226.8848786354065]
[35.24329891204834, -206.66519498825073]
[29.601719284057616, -246.44861316680908]
[17.093684577941893, -204.0223250389099]
[22.69950141906738, -184.1355333328247]
[12.179281616210938, -194.42180490493774]
[42.498376274108885, -208.93732404708862]
[36.280419731140135, -214.98898363113403]
[13.508465194702149, -218.5104260444641]
[20.590093040466307, -216.27644395828247]
[27.592446708679198, -211.36651134490967]
[31.18005027770996, -222.88719511032104]
[27.167465591430663, -227.8868327140808]
[24.1747163772583, -208.1204423904419]
[18.843080902099608, -221.17982006072998]
[24.659302139282225, -218.68447160720825]
[28.658773803710936, -228.6655673980713]
[12.855198287963868, -228.45695114135742]
[27.40826835632324, -216.47999382019043]
[23.867752456665038, -227.3760209083557]
[26.729967498779295, -220.40734386444092]
[33.501651191711424, -233.39609003067017]
[17.099645042419432, -213.1054768562317]
[30.554797554016112, -232.85189962387085]
[24.394061470031737, -212.2584948539734]
[31.612779998779295, -231.04379272460938]
[18.742349052429198, -213.73221969604492]
[26.59466495513916, -224.63927364349365]
[19.46296920776367, -224.34542274475098]
[32.441284561157225, -221.31601667404175]
[21.012689971923827, -229.3402919769287]
[19.355680847167967, -222.68811559677124]
[25.45681228637695, -229.27383279800415]
[23.470785522460936, -225.1715431213379]
[30.638840103149413, -226.5898356437683]
[22.080805206298827, -230.03409004211426]
[24.40657844543457, -214.50350379943848]
[22.31624355316162, -222.09713554382324]
[17.838146591186522, -241.8036231994629]
[35.921599769592284, -220.97746229171753]
[20.43810119628906, -226.71947574615479]
[19.23229923248291, -220.28694248199463]
[33.69298210144043, -219.2501196861267]
[20.889308357238768, -233.19730854034424]
[14.075901412963868, -204.58201265335083]
[24.246241950988768, -232.11697435379028]
[12.421872520446778, -222.34032249450684]
[46.255257034301756, -222.02441787719727]
[15.345480346679688, -224.4047293663025]
[21.543171310424803, -204.857684135437]
[28.065111541748045, -242.3594365119934]
[27.19428768157959, -224.9891529083252]
[41.196610832214354, -232.81703090667725]
[7.753636741638184, -216.76788425445557]
[34.12988414764404, -218.03060865402222]
[19.916560554504393, -225.92375373840332]
[28.876926803588866, -233.32933282852173]
[26.604797744750975, -231.8815360069275]
[15.720393562316895, -227.40492916107178]
[20.891692543029784, -211.88298559188843]
[25.2350830078125, -228.7028203010559]
[24.276044273376463, -219.162202835083]
[34.83619918823242, -234.49698781967163]
[18.319156074523924, -210.73917245864868]
[28.167035484313963, -227.5041708946228]
[16.657974624633788, -222.05451822280884]
[39.735104942321776, -220.08786296844482]
[16.585853004455565, -216.13428688049316]
[23.075606727600096, -224.77636432647705]
[27.972128295898436, -222.8424916267395]
[30.067231559753417, -231.56265115737915]
[29.54151859283447, -205.390549659729]
[25.472309494018553, -216.34171104431152]
[21.187927627563475, -230.29545640945435]
[39.70709075927734, -225.67401027679443]
[22.60473003387451, -232.98660612106323]
[20.063187980651854, -207.8408966064453]
[20.38743724822998, -225.3342638015747]
[19.69185104370117, -224.87620210647583]
[34.11915531158447, -237.11959218978882]
[22.12550868988037, -225.7416615486145]
[21.105077171325682, -225.70321655273438]
[21.39594783782959, -225.83553886413574]
[30.679967308044432, -230.95319366455078]
[28.463270568847655, -240.90716934204102]
[21.165277862548827, -210.14103984832764]
[20.293857955932616, -224.00060987472534]
[15.471246147155762, -226.5782127380371]
[36.15763416290283, -223.9198455810547]
[10.890033149719239, -226.76745748519897]
[18.952753448486327, -211.74202060699463]
[28.975870513916014, -225.82540607452393]
[21.616485023498534, -218.14951992034912]
[30.19299736022949, -222.72834873199463]
[20.38743724822998, -217.42234325408936]
[34.798648262023924, -228.8631567955017]
[22.344853782653807, -232.14022016525269]
[28.240945243835448, -218.24220514297485]
[18.400218391418456, -232.0856819152832]
[29.73821392059326, -227.69728994369507]
[32.33340015411377, -231.19816875457764]
[18.63744487762451, -220.3015456199646]
[24.10915126800537, -230.76692914962769]
[22.155311012268065, -227.00080966949463]
[28.26419105529785, -238.30483055114746]
[17.994310760498045, -228.76421308517456]
[23.228194618225096, -221.45578956604004]
[17.068054580688475, -226.02686977386475]
[23.9613317489624, -239.30171823501587]
[32.95507659912109, -228.3136019706726]
[26.795532608032225, -224.8586187362671]
[25.508072280883788, -208.00838565826416]
[25.652911567687987, -228.01736688613892]
[22.02477684020996, -226.0998854637146]
[30.78963985443115, -231.43867349624634]
[23.01838626861572, -218.61473417282104]
[21.671321296691893, -212.94067001342773]
[14.249350929260254, -204.18593978881836]
[24.120476150512694, -212.06120347976685]
[24.1979621887207, -237.43609285354614]
[31.096603775024413, -229.57543230056763]
[29.57191696166992, -223.75354862213135]
[17.04421272277832, -222.72656059265137]
[30.51188220977783, -221.21111249923706]
[30.809905433654784, -226.0599503517151]
[21.043088340759276, -229.30214500427246]
[25.32508602142334, -213.25508451461792]
[17.298128509521483, -227.91901922225952]
[26.363398933410643, -218.6358938217163]
[28.56042613983154, -222.83772325515747]
[12.972023391723633, -223.13038206100464]
[25.53608646392822, -230.14197444915771]
[28.07822456359863, -230.66113090515137]
[22.52545585632324, -224.96858930587769]
[24.113323593139647, -220.9339509010315]
[20.59068908691406, -221.77765464782715]
[25.208856964111327, -233.1746587753296]
[27.44164695739746, -235.85567569732666]
[26.478435897827147, -230.3282389640808]
[21.70291175842285, -216.92673063278198]
[27.52568950653076, -231.40648698806763]
[34.82666244506836, -227.07054710388184]
[29.333498382568358, -226.68907737731934]
[14.207031631469727, -218.55512952804565]
[15.809204483032227, -218.23743677139282]
[20.29743423461914, -227.93243026733398]
[27.683641815185545, -228.5812268257141]
[26.86646213531494, -230.66738939285278]
[24.12882080078125, -209.6785078048706]
[32.41148223876953, -232.0871720314026]
[26.8527530670166, -223.21710681915283]
[31.18303050994873, -228.67122983932495]
[19.31157341003418, -221.53625583648682]
[23.81291618347168, -212.61344051361084]
[19.99225845336914, -227.9789218902588]
[19.208457374572752, -219.02749633789062]
[34.07206764221191, -225.55748319625854]
[17.347004318237303, -224.44168424606323]
[27.825500869750975, -218.47764348983765]
[20.321276092529295, -231.34121990203857]
[25.540854835510252, -227.09409093856812]
[28.910305404663085, -235.19793844223022]
[19.384291076660155, -230.57768440246582]
[24.360682868957518, -232.07256889343262]
[21.31965389251709, -232.3831090927124]
[26.25909080505371, -229.44549417495728]
[20.92447509765625, -236.98041534423828]
[22.72811164855957, -214.69781494140625]
[17.003681564331053, -224.76086711883545]
[23.67880573272705, -227.23475790023804]
[35.65099468231201, -233.11982250213623]
[24.44770565032959, -242.94594621658325]
[13.875629806518555, -206.4109811782837]
[34.2610143661499, -224.85265827178955]
[0.677373313903809, -218.42489337921143]
[40.095116996765135, -212.42985820770264]
[16.801025772094725, -216.63198566436768]
[27.715828323364256, -219.7984824180603]
[25.57542552947998, -224.32277297973633]
[24.415519142150877, -222.0718035697937]
[26.783015632629393, -233.5403332710266]
[33.92782440185547, -226.22356510162354]
[26.296641731262206, -229.73904705047607]
[16.92977180480957, -225.0523338317871]
[28.4471773147583, -230.99640703201294]
[23.001100921630858, -229.93812656402588]
[18.440153503417967, -228.26651430130005]
[18.903877639770506, -224.3025074005127]
[22.10703125, -217.31982326507568]
[24.574067497253417, -229.87643575668335]
[25.787022018432616, -223.61407375335693]
[24.392273330688475, -233.6181173324585]
[19.41707363128662, -210.72158908843994]
[27.32899417877197, -225.6668577194214]
[14.621879959106446, -227.51162147521973]
[38.834478759765624, -217.66016578674316]
[19.42482223510742, -236.8379602432251]
[20.843412780761717, -224.48251342773438]
[33.599402809143065, -213.87109851837158]
[18.096234703063963, -208.28375911712646]
[30.146505737304686, -221.34581899642944]
[29.902126693725585, -230.59884405136108]
[18.026497268676756, -220.5211887359619]
[12.171533012390137, -212.75827980041504]
[11.822845840454102, -203.76840925216675]
[28.435852432250975, -224.00567626953125]
[26.64354076385498, -222.13051414489746]
[30.335452461242674, -199.83629083633423]
[29.098060035705565, -229.4478783607483]
[29.049184226989745, -219.49271059036255]
[44.69897975921631, -217.48999452590942]
[16.886260414123534, -222.4130401611328]
